slug,name,state,lat,lng,home_value,rent,landlord,tax_rate,growth,climate,blurb
cleveland-oh,Cleveland,OH,41.50,-81.69,254986,1474,75,1.5,55,85,"Highest yields of any major metro; city-proper price-to-rent ratios run near 10 versus the metro-wide 14. Cleveland Clinic and the universities anchor tenant demand."
toledo-oh,Toledo,OH,41.65,-83.54,204000,1302,75,1.4,45,85,"Cheapest entry among tracked metros with a ratio of 13 and deep sub-$100K single-family stock — a natural first BRRRR market."
pittsburgh-pa,Pittsburgh,PA,40.44,-80.00,234727,1523,70,1.4,50,90,"A ratio of 13 on a stable eds-and-meds economy. Slow appreciation: investors buy the rent check, not the flip."
memphis-tn,Memphis,TN,35.15,-90.05,246954,1435,90,0.6,55,70,"The turnkey capital of America, with the deepest out-of-state investor infrastructure, a ratio of 14, and no state income tax."
birmingham-al,Birmingham,AL,33.52,-86.81,263437,1462,90,0.4,55,65,"Among the highest projected rental yields nationally, paired with the lowest property taxes of any tracked market."
detroit-mi,Detroit,MI,42.33,-83.05,270689,1518,65,1.3,60,85,"The best raw city-level price-to-rent anywhere, with block-by-block risk. Suburbs are the institutional play."
tulsa-ok,Tulsa,OK,36.15,-95.99,220000,1300,90,0.9,50,60,"A ratio of 14, landlord-friendly courts, and little coastal capital competing for deals."
oklahoma-city-ok,Oklahoma City,OK,35.47,-97.52,247292,1393,90,0.9,55,60,"Low prices on a steady energy-and-aerospace employment base. Underrated and uncrowded."
little-rock-ar,Little Rock,AR,34.75,-92.29,218000,1250,85,0.6,45,70,"Cheap entry, low taxes, and quiet competition — a patient operator's market."
indianapolis-in,Indianapolis,IN,39.77,-86.16,296207,1558,90,0.8,65,85,"The best blend of cash flow and growth: real population and rent gains, fast evictions, no rent control."
kansas-city-mo,Kansas City,MO,39.10,-94.58,331552,1545,85,1.0,75,75,"Roughly 123% appreciation over the past decade means equity actually compounds — fuel for the refinance snowball."
st-louis-mo,St. Louis,MO,38.63,-90.20,280017,1459,85,1.0,50,75,"Strong rent-to-price ratios with unusually deep duplex and fourplex stock for stacking doors."
new-orleans-la,New Orleans,LA,29.95,-90.07,264193,1617,60,0.6,35,25,"A ratio of 14 that shrinks fast once insurance quotes arrive — premiums can consume 100+ basis points of yield."
san-antonio-tx,San Antonio,TX,29.42,-98.49,278941,1416,85,1.7,55,70,"A ratio of 16 with no state income tax, offset partly by 2%+ effective property taxes."
huntsville-al,Huntsville,AL,34.73,-86.59,330000,1550,90,0.4,80,70,"Cash flow with a genuine defense-and-aerospace growth engine and high tenant quality; concentration is the tradeoff."
chicago-il,Chicago,IL,41.88,-87.63,359897,2275,35,2.1,50,85,"A ratio of 13 undercut by 2%+ property taxes and slow, tenant-tilted courts. Yield you cannot collect is not yield."
austin-tx,Austin,TX,30.27,-97.74,424110,1653,85,1.7,55,70,"A ratio of 21 and gross yield under 5% — a reference market showing where the snowball math stops working."
denver-co,Denver,CO,39.74,-104.99,571808,1930,55,0.5,40,75,"A ratio of 25 means negative leverage at 2026 mortgage rates — a rent-lean reference market."
